"","features","metric","seed"
"17","BusinessTravel,Gender,JobInvolvement,WorkLifeBalance,ID,DailyRate,DistanceFromHome,MonthlyIncome,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRateLog_L","ROC",17
"18","BusinessTravel,EducationField,EnvironmentSatisfaction,JobRole,JobSatisfaction,MaritalStatus,Age,DistanceFromHome,HourlyRate,MonthlyRate,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsSinceLastPromotion,MonthlyIncome_L,MonthlyRate_L","ROC",18
"19","BusinessTravel,Education,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,WorkLifeBalance,DailyRate,EmployeeNumber,MonthlyIncome,NumCompaniesWorked,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_L","ROC",19
"20","Gender,JobInvolvement,JobSatisfaction,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,EmployeeNumber,HourlyRate,NumCompaniesWorked,YearsWithCurrManager,DistanceFromHome_L,HourlyRateLog_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",20
"21","EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,DailyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L,HourlyRateLog_L,MonthlyRate_L,PercentSalaryHike_L","ROC",21
"22","BusinessTravel,Gender,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,StockOptionLevel,Age,DistanceFromHome,EmployeeNumber,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L,HourlyRateLog_L","ROC",22
"23","BusinessTravel,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,DailyRate,MonthlyRate,TrainingTimesLastYear,DailyRateLog_L,DistanceFromHome_L,HourlyRateLog_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",23
"24","BusinessTravel,Department,JobLevel,JobRole,JobSatisfaction,MaritalStatus,PerformanceRating,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateLog_L,MonthlyIncome_L,MonthlyRate_L","ROC",24
"25","Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,OverTime,RelationshipSatisfaction,StockOptionLevel,DistanceFromHome,EmployeeNumber,MonthlyIncome,MonthlyRate,PercentSalaryHike,TrainingTimesLastYear,YearsSinceLastPromotion,HourlyRateLog_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",25
"26","Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,DailyRate,DistanceFromHome,MonthlyIncome,MonthlyRate,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager","ROC",26
"27","Department,EducationField,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Age,DailyRate,EmployeeNumber,HourlyRate,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L,PercentSalaryHike_L","ROC",27
"28","EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,OverTime,RelationshipSatisfaction,ID,Age,EmployeeNumber,MonthlyRate,PercentSalaryHike,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L,HourlyRateLog_L,PercentSalaryHike_L","ROC",28
"29","Department,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,DailyRate,HourlyRate,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,DailyRateLog_L,MonthlyRate_L,PercentSalaryHike_L","ROC",29
"30","Department,JobInvolvement,JobLevel,JobRole,OverTime,RelationshipSatisfaction,StockOptionLevel,ID,MonthlyRate,TrainingTimesLastYear,YearsAtCompany,DistanceFromHome_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",30
"31","BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,WorkLifeBalance,ID,DistanceFromHome,HourlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",31
"32","EnvironmentSatisfaction,JobRole,JobSatisfaction,MaritalStatus,OverTime,StockOptionLevel,EmployeeNumber,DailyRateLog_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",32
"33","Department,EducationField,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,OverTime,StockOptionLevel,WorkLifeBalance,Age,DailyRate,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,YearsWithCurrManager,PercentSalaryHike_L","ROC",33
"34","Department,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,PerformanceRating,StockOptionLevel,WorkLifeBalance,ID,Age,DistanceFromHome,HourlyRate,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsInCurrentRole,DailyRateLog_L,HourlyRateLog_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",34
"35","Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,DailyRate,EmployeeNumber,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,DailyRateLog_L,HourlyRateLog_L,MonthlyRate_L","ROC",35
"36","BusinessTravel,Department,Education,EnvironmentSatisfaction,JobInvolvement,JobRole,MaritalStatus,OverTime,PerformanceRating,StockOptionLevel,DailyRate,DistanceFromHome,EmployeeNumber,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L","ROC",36
"37","BusinessTravel,Department,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,OverTime,RelationshipSatisfaction,WorkLifeBalance,ID,EmployeeNumber,HourlyRate,NumCompaniesWorked,YearsAtCompany,YearsSinceLastPromotion,MonthlyIncome_L","ROC",37
"38","BusinessTravel,Department,Education,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,StockOptionLevel,ID,Age,HourlyRate,MonthlyRate,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsWithCurrManager,DistanceFromHome_L,HourlyRateLog_L","ROC",38
"39","Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,DailyRate,DistanceFromHome,HourlyRate,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,PercentSalaryHike_L","ROC",39
"40","BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,RelationshipSatisfaction,StockOptionLevel,ID,DistanceFromHome,EmployeeNumber,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHome_L,HourlyRateLog_L,MonthlyRate_L","ROC",40
"41","Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,PerformanceRating,ID,DistanceFromHome,EmployeeNumber,HourlyRate,MonthlyIncome,MonthlyRate,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHome_L,MonthlyIncome_L,MonthlyRate_L,PercentSalaryHike_L","ROC",41
"42","BusinessTravel,Education,JobInvolvement,JobRole,JobSatisfaction,PerformanceRating,StockOptionLevel,ID,DailyRate,HourlyRate,PercentSalaryHike,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,PercentSalaryHike_L","ROC",42
"43","Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,OverTime,StockOptionLevel,ID,DailyRate,EmployeeNumber,HourlyRate,MonthlyRate,TrainingTimesLastYear,YearsWithCurrManager,DailyRateLog_L","ROC",43
"44","BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance,ID,Age,DailyRate,HourlyRate,MonthlyRate,NumCompaniesWorked,TotalWorkingYears,DistanceFromHome_L,MonthlyIncome_L,MonthlyRate_L","ROC",44
"45","Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,RelationshipSatisfaction,WorkLifeBalance,ID,MonthlyIncome,MonthlyRate,PercentSalaryHike,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHome_L,HourlyRateLog_L","ROC",45
"46","Department,Education,EducationField,EnvironmentSatisfaction,OverTime,RelationshipSatisfaction,WorkLifeBalance,Age,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsWithCurrManager,DailyRateLog_L,DistanceFromHome_L,PercentSalaryHike_L","ROC",46
"47","Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,DailyRate,DistanceFromHome,EmployeeNumber,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsWithCurrManager,DailyRateLog_L,HourlyRateLog_L","ROC",47
"48","EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,PerformanceRating,Age,DistanceFromHome,PercentSalaryHike,TrainingTimesLastYear,YearsWithCurrManager,DailyRateLog_L,MonthlyRate_L","ROC",48
"49","EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,DistanceFromHome,NumCompaniesWorked,YearsAtCompany,YearsWithCurrManager,DailyRateLog_L,HourlyRateLog_L","ROC",49
"50","BusinessTravel,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,OverTime,StockOptionLevel,WorkLifeBalance,ID,Age,DistanceFromHome,EmployeeNumber,NumCompaniesWorked,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateLog_L,DistanceFromHome_L,MonthlyRate_L","ROC",50
